,rol,corte,fecha,folio,tramite,descripcion,fecha_ingreso,CLASIFICACION_CORRECTA,CLASIFICACION_NUM
0,319-2024,Concepción,26/03/2024,15.0,Resolución,Agréguese extraordinariamente a la tabla del 28 de marzo,06/02/2024,Agréguese A Tabla,4
1,14728-2024,Concepción,03/09/2024,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 05 de septiembre,24/05/2024,Agréguese A Tabla,4
2,152109-2022,Valparaíso,20/06/2023,12.0,Resolución,(NMVConcede Recurso (Intercone,06/11/2022,Concede Apelación,9
3,950-2024,Antofagasta,17/10/2024,15.0,Resolución,Cúmplase CS,15/04/2024,Cs,10
4,4878-2024,Temuco,10/07/2024,6.0,Resolución,"Se declara admisible, 08 días. Concede ONI.",26/06/2024,Admisibles,3
6,151165-2022,Valparaíso,29/03/2023,15.0,Resolución,3.Téngase Presente /nmv,05/11/2022,Téngase Presente,28
8,14513-2023,Concepción,14/07/2023,5.0,Resolución,(PB) ACOGE A TRAMITACION LUC,12/07/2023,Admisibles,3
9,5083-2024,Temuco,28/06/2024,3.0,Resolución,Inicio tramitación,28/06/2024,Inicio Tramitación,21
10,16530-2024,Santiago,30/08/2024,10.0,Resolución,Agréguese Extraordinariamente,29/06/2024,Agréguese A Tabla,4
11,5210-2024,Concepción,12/08/2024,9.0,Resolución,Agréguese extraordinariamente a la tabla del 14 de agosto,02/04/2024,Agréguese A Tabla,4
12,7369-2023,Concepción,30/05/2023,9.0,Resolución,(PB) Aer/Fondo (GC),28/04/2023,Evacua Informe,12
13,4596-2024,Valparaíso,26/07/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 31 de julio,04/06/2024,Agréguese A Tabla,4
15,13242-2023,Concepción,27/02/2024,12.0,Resolución,"Concede recurso, interconexión",30/06/2023,Concede Apelación,9
16,21807-2024,Santiago,09/01/2025,11.0,Resolución,Concede ampliación de Plazo por el término de 05 días // Rechaza reposición,07/11/2024,Ica Amplia Plazo,15
18,,,,,,La demanda es omte proncunc.a (por error procesal),,Inadmisible/Omite,18
19,7437-2024,Temuco,06/11/2024,3.0,Resolución,Dese Cta.Adm. SALUD MENTAL,05/11/2024,Dese Cuenta,11
20,1465-2019,Punta Arenas,05/05/2020,18.0,Resolución,en su oportunidad,04/10/2019,Ica Informa,16
21,2313-2024,Santiago,23/05/2024,9.0,Resolución,Ev. Informe. En Relación,16/04/2024,Evacua Informe,12
22,30916-2022,San Miguel,12/12/2022,5.0,Resolución,Interpuesto Recurso de Protecc,30/11/2022,Admisibles,3
24,18113-2024,Santiago,14/10/2024,15.0,Resolución,"Atendida la materia sobre la que versa este proceso, que no corresponde a aquellos asuntos que deban ser incorporados por ahora a la tabla agregada, por haberse incurrido en un error de tramitación, se deja sin efecto la resolución de 10 de octubre en curso que dispuso su inclusión en la tabla de la Primera Sala para el día martes quince de octubre de dos mil veinticuatro.Deja Sin Efecto",12/08/2024,Ica Informa,16
26,6218-2024,Concepción,08/05/2024,7.0,Resolución,Ev. Informe. En relación,05/04/2024,Evacua Informe,12
28,31399-2022,Antofagasta,26/12/2022,6.0,Resolución,Interpuesto Recurso GES,15/11/2022,Admisibles,3
30,,,,,,(PBEx24)fondo/aer(QB duplicidad,,Evacua Informe,12
31,5950-2022,Valparaíso,22/03/2022,7.0,Resolución,"Por Evacuado Informe, en relac",13/02/2022,Evacua Informe,12
35,4400-2024,Concepción,25/11/2024,8.0,Resolución,"No existiendo constancia en autos de haberse efectuado la comunicación automática de la sentencia definitiva, hágase con esta fecha. RECHAZADA SIN COSTAS",28/03/2024,Ica Solicita Diligencia,17
36,19063-2023,Valparaíso,21/08/2023,15.0,Resolución,"Encontrándose la presente causa sin estado toda vez que, sin perjuicio de la incongruencia del recurso con los documentos acompañados, atendido el mérito de los antecedentes y del Ingreso Corte Protección  21.065-2023, tenido a la vista, se advierte que ambas causas fueron interpuestas por el mismo recurrente formulando idéntica petición, evidenciándose que un mismo asunto ha sido puesto en conocimiento de esta Corte en más de una oportunidad; pasen los antecedentes a la Sala de Cuenta a fin de que dilucide esta situación y dicte la resolución que en derecho corresponda.",16/06/2023,Ica Informa,16
37,4501-2024,Concepción,16/04/2024,8.0,Resolución,Concede ampliación de plazo por el término de 10 días hábiles,28/03/2024,Ica Amplia Plazo,15
